This list contains all games supported by FB Alpha.

2833 games supported in total; X = excluded from build; D = included in debug build only; NW = not working

  name		  status  full name						  parent	  year	  company	  hardware	  remarks
+---------------+-------+-------------------------------------------------------+---------------+-------+---------------+---------------+---------------------------------------+
| androdun	|  	| Andro Dunos						| 		| 1992	| Visco		| Neo Geo	| 					|
| g_anime	| D	| Animaniacs (E) [!]					| g_anim	| 1900	| Unsorted	| Megadrive	| No sound				|
| g_anim	| D	| Animaniacs (U) [!]					| 		| 1900	| Unsorted	| Megadrive	| Bad sound				|
| g_awld	|  	| Another World (E) [!]					| g_ootw	| 1992	| Delphine / Vir| Megadrive	| 					|
| g_aoki	| D	| Aoki Ookami to Shiroki Meshika - Genchou Hishi (J) [!]| 		| 1900	| Koei		| Megadrive	| 					|
| aquajckj	|  	| Aquajack (Japan)					| aquajack	| 1990	| Taito Corporat| Taito-Z	| 					|
| aquajack	|  	| Aquajack (World)					| 		| 1990	| Taito Corporat| Taito-Z	| 					|
| g_aqua	|  	| Aquatic Games - Starring James Pond, The (UE) [!]	| 		| 1992	| Electronic Art| Megadrive	| 					|
| g_arca	| D	| Arcade Classics (U) [!]				| 		| 1900	| Unsorted	| Megadrive	| Bad sound				|
| g_arch	|  	| Arch Rivals (UE) [!]					| 		| 1900	| Unsorted	| Megadrive	| 					|
| g_arcusj	|  	| Arcus Odyssey (J) [!]					| g_arcu	| 1900	| Unsorted	| Megadrive	| 					|
| g_arcu	|  	| Arcus Odyssey (U) [!]					| 		| 1900	| Unsorted	| Megadrive	| 					|
| area88	|  	| Area 88 (Japan)					| unsquad	| 1989	| Daipro / Capco| CPS1		| 					|
| g_arie	|  	| Ariel - The Little Mermaid (UE) [!]			| 		| 1900	| Unsorted	| Megadrive	| 					|
| arkgcbl	|  	| Arkanoid (bootleg on Block hardware)			| arkanoid	| 1986	| bootleg	| Arkanoid	| 					|
| arkmcubl	| D NW	| Arkanoid (bootleg with MCU)				| arkanoid	| 1986	| bootleg	| Arkanoid	| Unsupported MCU			|
| ark1ball	| D NW	| Arkanoid (bootleg with MCU, harder)			| arkanoid	| 1986	| bootleg	| Arkanoid	| Unsupported MCU			|
| arkangc	|  	| Arkanoid (Game Corporation bootleg, set 1)		| arkanoid	| 1986	| bootleg	| Arkanoid	| 					|
| arkangc2	|  	| Arkanoid (Game Corporation bootleg, set 2)		| arkanoid	| 1986	| bootleg	| Arkanoid	| 					|
| arknoidj	| D NW	| Arkanoid (Japan)					| arkanoid	| 1986	| Taito Corporat| Arkanoid	| Unsupported MCU			|
| arkatayt	|  	| Arkanoid (Tayto bootleg)				| arkanoid	| 1986	| bootleg	| Arkanoid	| 					|
| arktayt2	|  	| Arkanoid (Tayto bootleg, harder)			| arkanoid	| 1986	| bootleg	| Arkanoid	| 					|
| arknoidu	| D NW	| Arkanoid (US)						| arkanoid	| 1986	| Taito America | Arkanoid	| Unsupported MCU			|
| arknoiuo	| D NW	| Arkanoid (US, older)					| arkanoid	| 1986	| Taito America | Arkanoid	| Unsupported MCU			|
| batrider	|  	| Armed police Batrider (Batrider ver. Fri Feb 13 1998, | 		| 1998	| Raizing / 8ing| Toaplan GP9001| 					|
| batridrk	|  	| Armed police Batrider (Batrider ver. Fri Feb 13 1998, | batrider	| 1998	| Raizing / 8ing| Toaplan GP9001| 					|
| batridra	|  	| Armed police Batrider (Batrider ver. Mon Dec 22 1997, | batrider	| 1998	| Raizing / 8ing| Toaplan GP9001| 					|
| armwara	|  	| Armored Warriors (940920 Asia)			| armwar	| 1994	| Capcom	| CPS2		| 					|
| armwarr1	|  	| Armored Warriors (941011 Europe)			| armwar	| 1994	| Capcom	| CPS2		| 					|
| armwar	|  	| Armored Warriors (941024 Europe)			| 		| 1994	| Capcom	| CPS2		| 					|
| armwaru	|  	| Armored Warriors (941024 USA)				| armwar	| 1994	| Capcom	| CPS2		| 					|
| g_aptg	| D	| Arnold Palmer Tournament Golf (UE) [!]		| 		| 1900	| Unsorted	| Megadrive	| No sound				|
| g_arrowj	| D	| Arrow Flash (J) [!]					| g_arro	| 1900	| Unsorted	| Megadrive	| 					|
| g_arro	| D	| Arrow Flash (UE) [!]					| 		| 1900	| Unsorted	| Megadrive	| No sound				|
| g_arta	|  	| Art Alive! (W) [!]					| 		| 1900	| Unsorted	| Megadrive	| 					|
| g_aofe	|  	| Art of Fighting (E) [!]				| g_aof		| 1994	| SNK / Sega	| Megadrive	| 					|
| g_aof		|  	| Art of Fighting (U) [!]				| 		| 1994	| SNK / Sega	| Megadrive	| 					|
| aof2		|  	| Art of Fighting 2 (set 1)\0Ryuuko no Ken 2		| 		| 1994	| SNK		| Neo Geo	| 					|
| aof2a		|  	| Art of Fighting 2 (set 2)\0Ryuuko no Ken 2		| aof2		| 1994	| SNK		| Neo Geo	| 					|
| aof3k		|  	| Art of Fighting 3 - the path of the warrior (korean re| aof3		| 1996	| SNK		| Neo Geo	| 					|
| aof3		|  	| Art of Fighting 3 - the path of the warrior\0Art of Fi| 		| 1996	| SNK		| Neo Geo	| 					|
| aof		|  	| Art of Fighting\0Ryuuko no Ken			| 		| 1992	| SNK		| Neo Geo	| 					|
| g_asl		| D	| Assault Suits Leynos (J) [!]				| g_targ	| 1900	| Unsorted	| Megadrive	| Bad sound				|
| g_asgr	| D	| Asterix and the Great Rescue (E) (M5) [c][!]		| 		| 1900	| Unsorted	| Megadrive	| No sound				|
| g_astgru	| D	| Asterix and the Great Rescue (U) [!]			| g_asgr	| 1900	| Unsorted	| Megadrive	| 					|
| g_aspg	| D	| Asterix and the Power of The Gods (E) (M4) [!]	| 		| 1900	| Unsorted	| Megadrive	| No sound				|
| g_astpgx	| D	| Asterix and the Power of The Gods (E) (M5) [x] (Beta?)| g_aspg	| 1900	| Unsorted	| Megadrive	| No sound				|
| acitya	|  	| Atlantic City Action					| bwcasino	| 1983	| EPOS Corporati| Pac-man	| 					|
| atompunk	| D NW	| Atomic Punk (US)					| dynablst	| 1992	| Irem America (| Miscellaneous	| Preliminary driver			|
| g_robokj	|  	| Atomic Robo-Kid (J) [c][!]				| g_akid	| 1900	| Unsorted	| Megadrive	| 					|
| g_akid	|  	| Atomic Robo-Kid (U) [c][!]				| 		| 1900	| Unsorted	| Megadrive	| 					|
| g_arunre	|  	| Atomic Runner (E) [!]					| g_arun	| 1992	| Data East	| Megadrive	| 					|
| g_arun	|  	| Atomic Runner (U) [!]					| 		| 1992	| Data East	| Megadrive	| 					|
| g_atpte	| D	| ATP Tour Championship Tennis (E)			| g_atpt	| 1900	| Unsorted	| Megadrive	| No sound				|
| g_atpt	|  	| ATP Tour Championship Tennis (U) [!]			| 		| 1900	| Unsorted	| Megadrive	| 					|
| aurailj	|  	| Aurail (set 1, Japan, FD1089A 317-0167)		| aurail	| 1990	| Sega / Westone| System 16B	| 					|
| aurail1	|  	| Aurail (set 2, World, FD1089B 317-0168)		| aurail	| 1990	| Sega / Westone| System 16B	| 					|
| aurail	|  	| Aurail (set 3, US, unprotected)			| 		| 1990	| Sega / Westone| System 16B	| 					|
| g_arug	|  	| Australian Rugby League (E) [!]			| 		| 1900	| Unsorted	| Megadrive	| 					|
| g_awsep	| D	| Awesome Possum Kicks Dr. Machino's Butt! (Beta)	| g_awep	| 1900	| Unsorted	| Megadrive	| No sound				|
| g_awep	| D	| Awesome Possum Kicks Dr. Machino's Butt! (U) [!]	| 		| 1900	| Unsorted	| Megadrive	| No sound				|
| g_aworg	|  	| Aworg (SN) (J)					| 		| 1900	| Sega		| Megadrive	| 					|
| g_awsp	|  	| AWS Pro Moves Soccer (U) [!]				| 		| 1900	| Unsorted	| Megadrive	| 					|
| g_smgp2a	| D	| Ayrton Senna's Super Monaco GP II (JE) [!]		| 		| 1900	| Unsorted	| Megadrive	| 					|
| g_sgp2	| D	| Ayrton Senna's Super Monaco GP II (U) [!]		| 		| 1900	| Unsorted	| Megadrive	| 					|
| bonkadv	|  	| B.C. Kid / Bonk's Adventure / Kyukyoku!! PC Genjin	| 		| 1994	| Kaneko	| Kaneko 16-bit	| 					|
| bcstry	|  	| B.C. Story (set 1)					| 		| 1997	| SemiCom	| Miscellaneous	| 					|
| bcstrya	|  	| B.C. Story (set 2)					| bcstry	| 1997	| SemiCom	| Miscellaneous	| 					|
| g_bobb	| D	| B.O.B (Beta)						| g_bob		| 1994	| Electronic Art| Megadrive	| 					|
| g_bob		| D	| B.O.B (UE) (REV01) [!]				| 		| 1994	| Electronic Art| Megadrive	| No sound in-game			|
| g_babyb1	| D	| Baby's Day Out (Beta 1)				| g_babyb2	| 1900	| Unsorted	| Megadrive	| No sound				|
| g_babyb2	|  	| Baby's Day Out (Beta 2)				| 		| 1900	| Unsorted	| Megadrive	| 					|
| g_bttfe	| D	| Back to the Future Part III (E) [!]			| g_bttf	| 1900	| Unsorted	| Megadrive	| No sound				|
| baddudes	| D	| Bad Dudes vs. Dragonninja (US)			| 		| 1988	| Data East USA	| DEC0		| 					|
| g_bdomen	| D	| Bad Omen (J) [c][!]					| g_devi	| 1992	| Hot B		| Megadrive	| No sound				|
| g_baha	| D	| Bahamut Senki (J) [c][!]				| 		| 1900	| Unsorted	| Megadrive	| 					|
| bakatono	|  	| Bakatonosama Mahjong Manyuki				| 		| 1991	| Monolith Corp.| Neo Geo	| 					|
| bakubrkr	|  	| Bakuretsu Breaker					| explbrkr	| 1992	| Kaneko	| Kaneko 16-bit	| 					|
| g_bjak	|  	| Ball Jacks (JE) [c][!]				| 		| 1900	| Unsorted	| Megadrive	| 					|
| g_balz	| D	| Ballz (UE) [!]					| 		| 1900	| Unsorted	| Megadrive	| No sound				|
| bangbead	|  	| Bang Bead						| 		| 2000	| Visco		| Neo Geo	| 					|
| bankp		|  	| Bank Panic						| 		| 1984	| [Sanritsu] Seg| Misc		| No Sound				|
| g_barb	|  	| Barbie Super Model (U) [!]				| 		| 1900	| Unsorted	| Megadrive	| 					|
| g_barbvb	| D	| Barbie Vacation Adventure (Beta)			| 		| 1900	| Unsorted	| Megadrive	| Bad sound				|
| g_bk2b	|  	| Bare Knuckle II (Beta)				| g_sor2	| 1992	| Sega		| Megadrive	| 					|
| g_bk3b	|  	| Bare Knuckle III (Beta)				| g_sor3	| 1994	| Sega		| Megadrive	| 					|
| g_bar3	|  	| Bare Knuckle III (J) [!]				| g_sor3	| 1994	| Sega		| Megadrive	| 					|
| g_suj2	| D	| Barkley Shut Up and Jam! 2 (U) [!]			| 		| 1900	| Unsorted	| Megadrive	| 					|
| g_suj		| D	| Barkley Shut Up and Jam! 2 (U) [!]			| 		| 1900	| Unsorted	| Megadrive	| 					|
