This list contains all games supported by FB Alpha.

2833 games supported in total; X = excluded from build; D = included in debug build only; NW = not working

  name		  status  full name						  parent	  year	  company	  hardware	  remarks
+---------------+-------+-------------------------------------------------------+---------------+-------+---------------+---------------+---------------------------------------+
| g_sthork	|  	| Story of Thor, The - A Successor of The Light (K)	| g_boas	| 1995	| Sega		| Megadrive	| 					|
| g_sthors	|  	| Story of Thor, The - A Successor of The Light (S)	| g_boas	| 1995	| Sega		| Megadrive	| 					|
| stratvox	|  	| Stratovox						| speakres	| 1980	| [Sun Electroni| Route 16	| 					|
| stratvob	|  	| Stratovox (bootleg)					| speakres	| 1980	| bootleg	| Route 16	| 					|
| sfach		|  	| Street Fighter Alpha (950727 CPS Changer)		| sfzch		| 1995	| Capcom	| CPS Changer	| 					|
| sfar3		|  	| Street Fighter Alpha - warriors' dreams (950605 Euro)	| sfa		| 1995	| Capcom	| CPS2		| 					|
| sfar2		|  	| Street Fighter Alpha - warriors' dreams (950627 Euro)	| sfa		| 1995	| Capcom	| CPS2		| 					|
| sfau		|  	| Street Fighter Alpha - warriors' dreams (950627 USA)	| sfa		| 1995	| Capcom	| CPS2		| 					|
| sfar1		|  	| Street Fighter Alpha - warriors' dreams (950718 Euro)	| sfa		| 1995	| Capcom	| CPS2		| 					|
| sfa		|  	| Street Fighter Alpha - warriors' dreams (950727 Euro)	| 		| 1995	| Capcom	| CPS2		| 					|
| sfa2		|  	| Street Fighter Alpha 2 (960306 USA)			| 		| 1996	| Capcom	| CPS2		| 					|
| sfa3b		|  	| Street Fighter Alpha 3 (980629 Brazil)		| sfa3		| 1998	| Capcom	| CPS2		| 					|
| sfa3ur1	|  	| Street Fighter Alpha 3 (980629 USA)			| sfa3		| 1998	| Capcom	| CPS2		| 					|
| sfa3		|  	| Street Fighter Alpha 3 (980904 Euro)			| 		| 1998	| Capcom	| CPS2		| 					|
| sfa3u		|  	| Street Fighter Alpha 3 (980904 USA)			| sfa3		| 1998	| Capcom	| CPS2		| 					|
| sf2ua		|  	| Street Fighter II - the world warrior (910206 USA)	| sf2		| 1991	| Capcom	| CPS1		| 					|
| sf2eb		|  	| Street Fighter II - the world warrior (910214 etc)	| sf2		| 1991	| Capcom	| CPS1		| 					|
| sf2ja		|  	| Street Fighter II - the world warrior (910214 Japan)	| sf2		| 1991	| Capcom	| CPS1		| 					|
| sf2ub		|  	| Street Fighter II - the world warrior (910214 USA)	| sf2		| 1991	| Capcom	| CPS1		| 					|
| sf2ue		|  	| Street Fighter II - the world warrior (910228 USA)	| sf2		| 1991	| Capcom	| CPS1		| 					|
| sf2jc		|  	| Street Fighter II - the world warrior (910306 Japan)	| sf2		| 1991	| Capcom	| CPS1		| 					|
| sf2ud		|  	| Street Fighter II - the world warrior (910318 USA)	| sf2		| 1991	| Capcom	| CPS1		| 					|
| sf2uf		|  	| Street Fighter II - the world warrior (910411 USA)	| sf2		| 1991	| Capcom	| CPS1		| 					|
| sf2		|  	| Street Fighter II - the world warrior (910522 etc)	| 		| 1991	| Capcom	| CPS1		| 					|
| sf2ui		|  	| Street Fighter II - the world warrior (910522 USA)	| sf2		| 1991	| Capcom	| CPS1		| 					|
| sf2uk		|  	| Street Fighter II - the world warrior (911101 USA)	| sf2		| 1991	| Capcom	| CPS1		| 					|
| sf2j		|  	| Street Fighter II - the world warrior (911210 Japan)	| sf2		| 1991	| Capcom	| CPS1		| 					|
| sf2accp2	|  	| Street Fighter II' - champion edition (Hack - Accelera| sf2ce		| 1992	| Capcom	| CPS1		| 					|
| sf2koryu	|  	| Street Fighter II' - champion edition (Hack - kouryu)	| sf2ce		| 1992	| Capcom	| CPS1		| 					|
| sf2m2		|  	| Street Fighter II' - champion edition (Hack - M-2)	| sf2ce		| 1992	| Capcom	| CPS1		| 					|
| sf2m4		|  	| Street Fighter II' - champion edition (Hack - M-4)	| sf2ce		| 1992	| Capcom	| CPS1		| 					|
| sf2m5		|  	| Street Fighter II' - champion edition (Hack - M-5)	| sf2ce		| 1992	| Capcom	| CPS1		| 					|
| sf2m6		|  	| Street Fighter II' - champion edition (Hack - M-6)	| sf2ce		| 1992	| Capcom	| CPS1		| 					|
| sf2m7		|  	| Street Fighter II' - champion edition (Hack - M-7)	| sf2ce		| 1992	| Capcom	| CPS1		| 					|
| sf2rb		|  	| Street Fighter II' - champion edition (Hack - Rainbow | sf2ce		| 1992	| Capcom	| CPS1		| 					|
| sf2rb2	|  	| Street Fighter II' - champion edition (Hack - Rainbow | sf2ce		| 1992	| Capcom	| CPS1		| 					|
| sf2red	|  	| Street Fighter II' - champion edition (Hack - Red Wave| sf2ce		| 1992	| Capcom	| CPS1		| 					|
| sf2v004	|  	| Street Fighter II' - champion edition (Hack - V004)	| sf2ce		| 1992	| Capcom	| CPS1		| 					|
| sf2yyc	|  	| Street Fighter II' - champion edition (Hack - YYC)	| sf2ce		| 1992	| Capcom	| CPS1		| 					|
| sf2ce		|  	| Street Fighter II' - champion edition (street fighter | 		| 1992	| Capcom	| CPS1		| 					|
| sf2ceua	|  	| Street Fighter II' - champion edition (street fighter | sf2ce		| 1992	| Capcom	| CPS1		| 					|
| sf2cej	|  	| Street Fighter II' - champion edition (street fighter | sf2ce		| 1992	| Capcom	| CPS1		| 					|
| sf2ceub	|  	| Street Fighter II' - champion edition (street fighter | sf2ce		| 1992	| Capcom	| CPS1		| 					|
| sf2ceuc	|  	| Street Fighter II' - champion edition (street fighter | sf2ce		| 1992	| Capcom	| CPS1		| 					|
| sf2hf		|  	| Street Fighter II' - hyper fighting (street fighter 2'| sf2ce		| 1992	| Capcom	| CPS1		| 					|
| sf2t		|  	| Street Fighter II' - hyper fighting (street fighter 2'| sf2hf		| 1992	| Capcom	| CPS1		| 					|
| g_sf2e	| D	| Street Fighter II' - Special Champion Edition (E) [!]	| 		| 1900	| Unsorted	| Megadrive	| 					|
| g_sf2c	| D	| Street Fighter II' - Special Champion Edition (U) [!]	| 		| 1900	| Unsorted	| Megadrive	| 					|
| g_sf2j	| D	| Street Fighter II' Plus - Champion Edition (J) [!]	| 		| 1900	| Unsorted	| Megadrive	| 					|
| g_sf2b	| D	| Street Fighter II' Turbo (Beta)			| 		| 1900	| Unsorted	| Megadrive	| 					|
| sf2tj		|  	| Street Fighter II' Turbo - hyper fighting (street figh| sf2hf		| 1992	| Capcom	| CPS1		| 					|
| sfiii2n	|  	| Street Fighter III 2nd Impact: Giant Attack (Asia 9709| sfiii2	| 1997	| Capcom	| CPS-3		| 					|
| sfiii2	|   NW	| Street Fighter III 2nd Impact: Giant Attack (Japan 970| 		| 1997	| Capcom	| CPS-3		| 					|
| sfiii2u	| D NW	| Street Fighter III 2nd Impact: Giant Attack (USA 97093| sfiii2	| 1997	| Capcom	| CPS-3		| 					|
| sfiii3n	|  	| Street Fighter III 3rd Strike: Fight for the Future (J| sfiii3	| 1999	| Capcom	| CPS-3		| 					|
| sfiii3an	|  	| Street Fighter III 3rd Strike: Fight for the Future (J| sfiii3	| 1999	| Capcom	| CPS-3		| 					|
| sfiii3	|   NW	| Street Fighter III 3rd Strike: Fight for the Future (U| 		| 1999	| Capcom	| CPS-3		| 					|
| sfiii3a	| D NW	| Street Fighter III 3rd Strike: Fight for the Future (U| sfiii3	| 1999	| Capcom	| CPS-3		| 					|
| sfiiin	|  	| Street Fighter III: New Generation (Asia 970204, NO CD| sfiii		| 1997	| Capcom	| CPS-3		| 					|
| sfiii		|   NW	| Street Fighter III: New Generation (Japan 970204)	| 		| 1997	| Capcom	| CPS-3		| 					|
| sfiiiu	| D NW	| Street Fighter III: New Generation (USA 970204)	| sfiii		| 1997	| Capcom	| CPS-3		| 					|
| sfzjr2	|  	| Street Fighter Zero (950605 Japan)			| sfa		| 1995	| Capcom	| CPS2		| 					|
| sfza		|  	| Street Fighter Zero (950627 Asia)			| sfa		| 1995	| Capcom	| CPS2		| 					|
| sfzh		|  	| Street Fighter Zero (950627 Hispanic)			| sfa		| 1995	| Capcom	| CPS2		| 					|
| sfzjr1	|  	| Street Fighter Zero (950627 Japan)			| sfa		| 1995	| Capcom	| CPS2		| 					|
| sfzbr1	|  	| Street Fighter Zero (950727 Brazil)			| sfa		| 1995	| Capcom	| CPS2		| 					|
| sfzj		|  	| Street Fighter Zero (950727 Japan)			| sfa		| 1995	| Capcom	| CPS2		| 					|
| sfzch		|  	| Street Fighter Zero (951020 CPS Changer)		| 		| 1995	| Capcom	| CPS Changer	| 					|
| sfzb		|  	| Street Fighter Zero (951109 Brazil)			| sfa		| 1995	| Capcom	| CPS2		| 					|
| sfz2a		|  	| Street Fighter Zero 2 (960227 Asia)			| sfa2		| 1996	| Capcom	| CPS2		| 					|
| sfz2j		|  	| Street Fighter Zero 2 (960227 Japan)			| sfa2		| 1996	| Capcom	| CPS2		| 					|
| sfz2n		|  	| Street Fighter Zero 2 (960229 Oceania)		| sfa2		| 1996	| Capcom	| CPS2		| 					|
| sfz2br1	|  	| Street Fighter Zero 2 (960304 Brazil)			| sfa2		| 1996	| Capcom	| CPS2		| 					|
| sfz2h		|  	| Street Fighter Zero 2 (960304 Hispanic)		| sfa2		| 1996	| Capcom	| CPS2		| 					|
| sfz2b		|  	| Street Fighter Zero 2 (960531 Brazil)			| sfa2		| 1996	| Capcom	| CPS2		| 					|
| sfz2aj	|  	| Street Fighter Zero 2 Alpha (960805 Japan)		| sfz2aa	| 1996	| Capcom	| CPS2		| 					|
| sfz2ab	|  	| Street Fighter Zero 2 Alpha (960813 Brazil)		| sfz2aa	| 1996	| Capcom	| CPS2		| 					|
| sfz2ah	|  	| Street Fighter Zero 2 Alpha (960813 Hispanic)		| sfz2aa	| 1996	| Capcom	| CPS2		| 					|
| sfz2aa	|  	| Street Fighter Zero 2 Alpha (960826 Asia)		| sfa2		| 1996	| Capcom	| CPS2		| 					|
| sfz3jr2	|  	| Street Fighter Zero 3 (980629 Japan)			| sfa3		| 1998	| Capcom	| CPS2		| 					|
| sfz3ar1	|  	| Street Fighter Zero 3 (980701 Asia)			| sfa3		| 1998	| Capcom	| CPS2		| 					|
| sfz3jr1	|  	| Street Fighter Zero 3 (980727 Japan)			| sfa3		| 1998	| Capcom	| CPS2		| 					|
| sfz3a		|  	| Street Fighter Zero 3 (980904 Asia)			| sfa3		| 1998	| Capcom	| CPS2		| 					|
| sfz3j		|  	| Street Fighter Zero 3 (980904 Japan)			| sfa3		| 1998	| Capcom	| CPS2		| 					|
| strhoop	|  	| Street Hoop\0Street Slam\0Dunk Dream			| 		| 1994	| Data East Corp| Neo Geo	| 					|
| g_stra	| D	| Street Racer (E) [c][!]				| 		| 1900	| Unsorted	| Megadrive	| 					|
| g_ssma	| D	| Street Smart (JU) [!]					| 		| 1900	| Unsorted	| Megadrive	| 					|
| g_sor00	|  	| Streets of Rage (W) (REV00) [!]			| g_sor		| 1991	| Sega		| Megadrive	| 					|
| g_sor		|  	| Streets of Rage (W) (REV01) [!]			| 		| 1991	| Sega		| Megadrive	| 					|
| g_sor2je	|  	| Streets of Rage 2 (JE) [!]				| g_sor2	| 1992	| Sega		| Megadrive	| 					|
| g_sor2	|  	| Streets of Rage 2 (U) [!]				| 		| 1992	| Sega		| Megadrive	| 					|
| g_sor3e	|  	| Streets of Rage 3 (E) (Apr 1994) [!]			| g_sor3	| 1994	| Sega		| Megadrive	| 					|
| g_sor3ea	|  	| Streets of Rage 3 (E) (May 1994) [!]			| g_sor3	| 1994	| Sega		| Megadrive	| 					|
| g_sor3	|  	| Streets of Rage 3 (U) [!]				| 		| 1994	| Sega		| Megadrive	| 					|
| strider	|  	| Strider (US set 1)					| 		| 1989	| Capcom	| CPS1		| 					|
| stridrua	|  	| Strider (US set 2)					| strider	| 1989	| Capcom	| CPS1		| 					|
| striderj	|  	| Strider Hiryu (Japan set 1)				| strider	| 1989	| Capcom	| CPS1		| 					|
| stridrja	|  	| Strider Hiryu (Japan set 2)				| strider	| 1989	| Capcom	| CPS1		| 					|
| g_stridj	| D	| Strider Hiryuu (J) [!]				| 		| 1900	| Unsorted	| Megadrive	| 					|
| g_strid2	| D	| Strider II (E) [c][!]					| 		| 1994	| Tiertex / Capc| Megadrive	| 					|
| g_stri	| D	| Strider II (E) [c][!]					| 		| 1994	| Tiertex / Capc| Megadrive	| 					|
| strkfgtr	|  	| Strike Fighter (Japan)				| 		| 1991	| Sega		| Y-Board	| 					|
| g_strikb	| D	| Striker (Beta)					| 		| 1900	| Unsorted	| Megadrive	| 					|
| g_strk	| D	| Striker (E) (M5) [!]					| 		| 1900	| Unsorted	| Megadrive	| 					|
| s1945		|  	| Strikers 1945						| 		| 1995	| Psikyo	| Psikyo 68EC020| 					|
| s1945a	|  	| Strikers 1945 (Alt)					| s1945		| 1995	| Psikyo	| Psikyo 68EC020| 					|
| s1945j	|  	| Strikers 1945 (Japan)					| s1945		| 1995	| Psikyo	| Psikyo 68EC020| 					|
| s1945jn	|  	| Strikers 1945 (Japan, unprotected)			| s1945		| 1995	| Psikyo	| Psikyo 68EC020| 					|
| s1945k	|  	| Strikers 1945 (Korea)					| s1945		| 1995	| Psikyo	| Psikyo 68EC020| 					|
| s1945p	|  	| Strikers 1945 plus					| 		| 1999	| Psikyo	| Neo Geo	| 					|
| g_subtb1	| D	| Sub-Terrania (Beta 1)					| 		| 1993	| Zyrinx	| Megadrive	| 					|
| g_subtb2	| D	| Sub-Terrania (Beta 2)					| 		| 1993	| Zyrinx	| Megadrive	| 					|
| g_subte	| D	| Sub-Terrania (E) [!]					| 		| 1993	| Zyrinx	| Megadrive	| 					|
| g_subtj	| D	| Sub-Terrania (J) [!]					| 		| 1993	| Zyrinx	| Megadrive	| 					|
| g_subt	| D	| Sub-Terrania (U) [!]					| 		| 1993	| Zyrinx	| Megadrive	| 					|
| sjryuko1	|  	| Sukeban Jansi Ryuko (set 1, System 16A, FD1089B 317-50| sjryuko	| 1987	| White Board	| System 16A	| 					|
| sjryuko	|  	| Sukeban Jansi Ryuko (set 2, System 16B, FD1089B 317-50| 		| 1987	| White Board	| System 16B	| 					|
| g_sumc	| D	| Summer Challenge (U) [!]				| 		| 1900	| Unsorted	| Megadrive	| 					|
| g_ssride	| D	| Sunset Riders (E) [!]					| 		| 1900	| Unsorted	| Megadrive	| 					|
| g_ssri	| D	| Sunset Riders (U) [!]					| 		| 1900	| Unsorted	| Megadrive	| 					|
| g_sair	| D	| Super Airwolf (J) [!]					| 		| 1991	| Kyugo		| Megadrive	| 					|
| g_2020j	| D NW	| Super Baseball 2020 (J) [!]				| g_2020	| 1900	| Unsorted	| Megadrive	| 					|
| g_sbt		| D	| Super Battle Tank - War in the Gulf (U) [!]		| 		| 1900	| Unsorted	| Megadrive	| 					|
| g_sbat	| D	| Super Battleship (U) [!]				| 		| 1900	| Unsorted	| Megadrive	| 					|
| sucasino	|  	| Super Casino						| 		| 1984	| Data Amusement| Jack the Giant| 					|
| g_supdai	| D	| Super Daisenryaku (J) (REV00) [!]			| 		| 1900	| Unsorted	| Megadrive	| 					|
| sdodgeb	|  	| Super Dodge Ball\0Kunio no Nekketsu Toukyuu Densetsu	| 		| 1996	| Technos	| Neo Geo	| 					|
| g_sfz		| D	| Super Fantasy Zone (E) [!]				| 		| 1900	| Unsorted	| Megadrive	| 					|
| g_sfze	| D	| Super Fantasy Zone (E) [!]				| 		| 1900	| Unsorted	| Megadrive	| 					|
| sgemfa	|  	| Super Gem Fighter Mini Mix (970904 Asia)		| sgemf		| 1997	| Capcom	| CPS2		| 					|
| sgemfh	|  	| Super Gem Fighter Mini Mix (970904 Hispanic)		| sgemf		| 1997	| Capcom	| CPS2		| 					|
| sgemf		|  	| Super Gem Fighter Mini Mix (970904 USA)		| 		| 1997	| Capcom	| CPS2		| 					|
| suprglob	|  	| Super Glob						| 		| 1983	| Epos Corporati| EPOS Tristar	| 					|
| sprglobp	|  	| Super Glob (Pac-Man hardware)				| suprglob	| 1983	| Epos Corporati| Pac-man	| 					|
| sprglbpg	|  	| Super Glob (Pac-Man hardware) German			| suprglob	| 1983	| bootleg	| Pac-man	| 					|
| shangupb	| D	| Super Hang-On (Hang-On upgrade, bootleg)		| shangon	| 1985	| bootleg	| Hang-On	| 					|
| shangon2	|  	| Super Hang-On (mini ride-on, Rev A, FD1089B 317-0034)	| shangon	| 1987	| Sega		| Out Run	| 					|
| shangon3	|  	| Super Hang-On (sitdown/upright, FD1089B 317-0034)	| shangon	| 1987	| Sega		| Out Run	| 					|
| shangon	|  	| Super Hang-On (sitdown/upright, unprotected)		| 		| 1987	| Sega		| Out Run	| 					|
| g_sho00	| D	| Super Hang-On (W) (REV00) [!]				| 		| 1900	| Unsorted	| Megadrive	| 					|
| g_suphq	| D	| Super HQ (J) [!]					| 		| 1900	| Unsorted	| Megadrive	| 					|
| g_shyde	| D	| Super Hydlide (E) [!]					| 		| 1900	| Unsorted	| Megadrive	| 					|
| g_shydj	| D	| Super Hydlide (J) [c][!]				| 		| 1900	| Unsorted	| Megadrive	| 					|
| g_shyd	| D	| Super Hydlide (U) [!]					| 		| 1900	| Unsorted	| Megadrive	| 					|
| g_skik	| D	| Super Kick Off (E) [c][!]				| 		| 1900	| Unsorted	| Megadrive	| 					|
| g_sl		| D	| Super League (E)					| 		| 1900	| Unsorted	| Megadrive	| 					|
| g_sleage	| D	| Super League (E)					| 		| 1900	| Unsorted	| Megadrive	| 					|
| suprleag	|  	| Super League (FD1094 317-0045)			| 		| 1987	| Sega		| System 16B	| 					|
| g_sl91	| D	| Super League 91 (J) [!]				| 		| 1900	| Unsorted	| Megadrive	| 					|
| g_smas	| D	| Super Masters Golf (J) [!]				| 		| 1900	| Unsorted	| Megadrive	| 					|
| supmodel	|  	| Super Model						| 		| 1994	| Comad / New Ja| Miscellaneous	| 					|
| smgpja	|  	| Super Monaco GP (set 1, Japan, Rev A, FD1094 317-0124a| smgp		| 1989	| Sega		| X-Board	| 					|
| smgpj		|  	| Super Monaco GP (set 2, Japan, Rev B, FD1094 317-0124a| smgp		| 1989	| Sega		| X-Board	| 					|
| smgpu3	|  	| Super Monaco GP (set 3, US, FD1094 317-0125a)		| smgp		| 1989	| Sega		| X-Board	| 					|
| smgpu2	|  	| Super Monaco GP (set 4, US, Rev A, FD1094 317-0125a)	| smgp		| 1989	| Sega		| X-Board	| 					|
| smgpu1	|  	| Super Monaco GP (set 5, US, Rev B, FD1094 317-0125a)	| smgp		| 1989	| Sega		| X-Board	| 					|
| smgpu		|  	| Super Monaco GP (set 6, US, Rev C, FD1094 317-0125a)	| smgp		| 1989	| Sega		| X-Board	| 					|
| smgp5		|  	| Super Monaco GP (set 7, World, 'Air Drive Cabinet', FD| smgp		| 1989	| Sega		| X-Board	| 					|
| smgp6		|  	| Super Monaco GP (set 8, World, Rev A, FD1094 317-0126a| smgp		| 1989	| Sega		| X-Board	| 					|
| smgp		|  	| Super Monaco GP (set 9, World, Rev B, 'Twin', FD1094 3| 		| 1989	| Sega		| X-Board	| 					|
| g_smgp03	| D	| Super Monaco Grand Prix (U) (M2) (REV03) [!]		| 		| 1990	| Sega		| Megadrive	| 					|
| g_smgp00	| D	| Super Monaco Grand Prix (W) (M2) (REV00) [!]		| 		| 1990	| Sega		| Megadrive	| 					|
| g_smgp01	| D	| Super Monaco Grand Prix (W) (M2) (REV01) [!]		| 		| 1990	| Sega		| Megadrive	| 					|
| g_smgp	| D	| Super Monaco Grand Prix (W) (M2) (REV02) [!]		| 		| 1990	| Sega		| Megadrive	| 					|
| smbombr1	|  	| Super Muscle Bomber - the international blowout (94080| ringdest	| 1994	| Capcom	| CPS2		| 					|
| smbomb	|  	| Super Muscle Bomber - the international blowout (94083| ringdest	| 1994	| Capcom	| CPS2		| 					|
| g_soff	| D	| Super Off Road (U) [!]				| 		| 1900	| Unsorted	| Megadrive	| 					|
| spf2ta	|  	| Super Puzzle Fighter II Turbo (Super Puzzle Fighter 2 | spf2t		| 1996	| Capcom	| CPS2		| 					|
| spf2t		|  	| Super Puzzle Fighter II Turbo (Super Puzzle Fighter 2 | 		| 1996	| Capcom	| CPS2		| 					|
| spf2xj	|  	| Super Puzzle Fighter II X (Super Puzzle Fighter 2 X 96| spf2t		| 1996	| Capcom	| CPS2		| 					|
| g_srba	| D	| Super Real Basketball (E) [c][!]			| 		| 1900	| Sega		| Megadrive	| 					|
| g_srealj	| D	| Super Real Basketball (J) [c][!]			| 		| 1900	| Sega		| Megadrive	| 					|
| g_sshi2b	| D	| Super Shinobi I					| 		| 1993	| Sega		| Megadrive	| 					|
| g_sshin2	| D	| Super Shinobi I					| 		| 1993	| Sega		| Megadrive	| 					|
| ssideki2	|  	| Super Sidekicks 2 - the world championship\0Tokuten Ou| 		| 1994	| SNK		| Neo Geo	| 					|
| ssideki3	|  	| Super Sidekicks 3 - the next glory\0Tokuten Ou 3 - eik| 		| 1995	| SNK		| Neo Geo	| 					|
| ssideki	|  	| Super Sidekicks\0Tokuten Ou				| 		| 1992	| SNK		| Neo Geo	| 					|
| g_skid	| D	| Super Skidmarks (E) (J-Cart) [!]			| 		| 1995	| Codemasters / | Megadrive	| 					|
| g_skida	| D	| Super Skidmarks (E) [a1]				| 		| 1995	| Codemasters / | Megadrive	| 					|
| g_sstv	| D	| Super Smash TV (UE) [!]				| 		| 1900	| Unsorted	| Megadrive	| 					|
| ssf2jr2	|  	| Super Street Fighter II - the new challengers (super s| ssf2		| 1993	| Capcom	| CPS2		| 					|
| ssf2		|  	| Super Street Fighter II - the new challengers (super s| 		| 1993	| Capcom	| CPS2		| 					|
| ssf2jr1	|  	| Super Street Fighter II - the new challengers (super s| ssf2		| 1993	| Capcom	| CPS2		| 					|
| ssf2u		|  	| Super Street Fighter II - the new challengers (super s| ssf2		| 1993	| Capcom	| CPS2		| 					|
| ssf2ar1	|  	| Super Street Fighter II - the new challengers (super s| ssf2		| 1993	| Capcom	| CPS2		| 					|
| ssf2a		|  	| Super Street Fighter II - the new challengers (super s| ssf2		| 1993	| Capcom	| CPS2		| 					|
| ssf2j		|  	| Super Street Fighter II - the new challengers (super s| ssf2		| 1993	| Capcom	| CPS2		| 					|
| ssf2tbr1	|  	| Super Street Fighter II - the tournament battle (93091| ssf2		| 1993	| Capcom	| CPS2		| Linkup feature not implemented	|
| ssf2tbj	|  	| Super Street Fighter II - the tournament battle (93091| ssf2		| 1993	| Capcom	| CPS2		| Linkup feature not implemented	|
| ssf2tb	|  	| Super Street Fighter II - the tournament battle (93111| ssf2		| 1993	| Capcom	| CPS2		| Linkup feature not implemented	|
| ssf2ta	|  	| Super Street Fighter II Turbo (super street fighter 2 | ssf2t		| 1994	| Capcom	| CPS2		| 					|
| ssf2t		|  	| Super Street Fighter II Turbo (super street fighter 2 | ssf2		| 1994	| Capcom	| CPS2		| 					|
| ssf2tur1	|  	| Super Street Fighter II Turbo (super street fighter 2 | ssf2t		| 1994	| Capcom	| CPS2		| 					|
| ssf2tu	|  	| Super Street Fighter II Turbo (super street fighter 2 | ssf2t		| 1994	| Capcom	| CPS2		| 					|
| ssf2xj	|  	| Super Street Fighter II X - grand master challenge (su| ssf2t		| 1994	| Capcom	| CPS2		| 					|
| g_stb00	| D	| Super Thunder Blade (W) (REV00) [!]			| 		| 1900	| Unsorted	| Megadrive	| 					|
| g_stb		| D	| Super Thunder Blade (W) (REV01) [!]			| 		| 1900	| Unsorted	| Megadrive	| 					|
| suprtrio	|  	| Super Trio						| 		| 1994	| Gameace	| Miscellaneous	| 					|
| striv		|  	| Super Triv						| 		| 1985	| Hara Industrie| Jack the Giant| No sound				|
| g_svolx	| D	| Super Volleyball (J) [x]				| 		| 1900	| Unsorted	| Megadrive	| 					|
| g_svolua	| D	| Super Volleyball (U) [a1][!]				| 		| 1900	| Unsorted	| Megadrive	| 					|
| g_svol	| D	| Super Volleyball (U) [c][!]				| 		| 1900	| Unsorted	| Megadrive	| 					|
| superman	|  	| Superman						| 		| 1988	| Taito		| Taito X System| 					|
| g_supmnb	| D	| Superman (Beta)					| 		| 1900	| Unsorted	| Megadrive	| 					|
| g_supmne	| D	| Superman (E) [!]					| 		| 1900	| Unsorted	| Megadrive	| 					|
| suprmanj	|  	| Superman (Japan)					| superman	| 1988	| Taito		| Taito X System| 					|
| g_supm	| D	| Superman (U) [!]					| 		| 1900	| Unsorted	| Megadrive	| 					|
| g_surgin	| D	| Surging Aura (J) [!]					| 		| 1900	| Unsorted	| Megadrive	| 					|
| svcpcb	|  	| SvC Chaos - SNK vs Capcom (JAMMA PCB, set 1)		| 		| 2003	| SNK Playmore	| Neo Geo	| 					|
| svcpcba	|  	| SvC Chaos - SNK vs Capcom (JAMMA PCB, set 2)		| svcpcb	| 2003	| SNK Playmore	| Neo Geo	| 					|
| svc		|  	| SvC Chaos - SNK vs Capcom (MVS)			| 		| 2003	| SNK Playmore	| Neo Geo	| 					|
| svcboot	|  	| SvC Chaos - SNK vs Capcom (MVS, bootleg)		| svc		| 2003	| bootleg	| Neo Geo	| bootleg of \"SvC Chaos - SNK vs Capcom|
| svcplus	|  	| SvC Chaos - SNK vs Capcom Plus (bootleg, set 1)	| svc		| 2003	| bootleg	| Neo Geo	| bootleg of \"SvC Chaos - SNK vs Capcom|
| svcplusa	|  	| SvC Chaos - SNK vs Capcom Plus (bootleg, set 2)	| svcplus	| 2003	| bootleg	| Neo Geo	| bootleg of \"SvC Chaos - SNK vs Capcom|
| svcsplus	|  	| SvC Chaos - SNK vs Capcom Super Plus (bootleg)	| svc		| 2003	| bootleg	| Neo Geo	| bootleg of \"SvC Chaos - SNK vs Capcom|
| swat		|  	| SWAT (315-5048)					| 		| 1984	| Coreland / Seg| System 1	| 					|
| g_swsoj	| D	| Sword of Sodan (J) [!]				| 		| 1900	| Unsorted	| Megadrive	| 					|
| g_swso	| D	| Sword of Sodan (UE) [!]				| 		| 1900	| Unsorted	| Megadrive	| 					|
| g_swvej	| D	| Sword of Vermilion (J) [c][!]				| 		| 1900	| Unsorted	| Megadrive	| 					|
| g_swve	| D	| Sword of Vermilion (UE) [!]				| 		| 1900	| Unsorted	| Megadrive	| 					|
| g_sydval	| D	| Syd of Valis (U) [!]					| 		| 1900	| Unsorted	| Megadrive	| 					|
| g_sylvb	| D	| Sylvester & Tweety in Cagey Capers (Beta)		| 		| 1900	| Unsorted	| Megadrive	| 					|
| g_sylv	| D	| Sylvester & Tweety in Cagey Capers (UE) [!]		| 		| 1900	| Unsorted	| Megadrive	| 					|
| g_synd	| D	| Syndicate (UE) [!]					| 		| 1900	| Unsorted	| Megadrive	| 					|
| mosyougi	|  	| Syougi No Tatsujin - master of syougi			| 		| 1990	| ADK / SNK	| Neo Geo	| 					|
| g_t2arcb	| D	| T2 - The Arcade Game (Beta)				| 		| 1900	| Unsorted	| Megadrive	| 					|
| g_t2ar	| D	| T2 - The Arcade Game (UE) (REV01) [!]			| 		| 1900	| Unsorted	| Megadrive	| 					|
| g_taiga	| D	| Taiga Drama Taiheiki (J) [!]				| 		| 1900	| Unsorted	| Megadrive	| 					|
| g_taikou	| D	| Taikou Risshiden (J) [!]				| 		| 1900	| Koei		| Megadrive	| 					|
| g_tale	| D	| Tale Spin (UE) [!]					| 		| 1900	| Unsorted	| Megadrive	| 					|
| g_talmit	| D	| Talmit's Adventure (E) [!]				| 		| 1900	| Unsorted	| Megadrive	| 					|
| g_tanr	| D	| Tanto R (J) [!]					| 		| 1900	| Unsorted	| Megadrive	| 					|
| g_targ	| D	| Target Earth (U) [!]					| 		| 1900	| Unsorted	| Megadrive	| 					|
| g_tfhxj	| D	| Task Force Harrier EX (J) [!]				| 		| 1900	| Unsorted	| Megadrive	| 					|
| g_tfh		| D	| Task Force Harrier EX (U) [!]				| 		| 1900	| Unsorted	| Megadrive	| 					|
